Sold-to party,Purchase order date,Sale Amount,Product Name/ID
1007429,10/3/2019,830.6,2200-48450-025
1016684,10/1/2019,315.52,1553-0159
1011087,10/3/2019,6.87,21267538
1007429,10/3/2019,830.6,2200-48450-025
1005480,10/3/2019,30.24,21267538
1036990,10/3/2019,94.4,21210874
1010228,10/3/2019,26.2,21210892
1007429,10/4/2019,1000.16,2200-48500-025
1007429,10/4/2019,1000.16,2200-48500-025
1005480,10/3/2019,40.32,21267538
1010228,10/3/2019,26.2,21210892
1005480,10/3/2019,41.04,21210874
1016602,10/2/2019,111744,10302
1036990,10/3/2019,85.35,21210876
1036990,10/3/2019,227.6,21210876
1019337,10/3/2019,20.76,209745-101
1040426,10/2/2019,721.56,203512881
1005480,10/3/2019,6.84,21210874
1040426,10/2/2019,721.56,20351063
1007920,10/3/2019,384.64,21210876
1007920,10/3/2019,384.64,21211020
1011087,10/3/2019,27.48,21267538
1040426,10/2/2019,721.56,20350820
1008386,10/3/2019,103.25,21210874
1006496,10/3/2019,1360,WGGS-JUN-SVC-SWA-VSRX-1G
1007429,10/4/2019,207.65,2200-48450-025
1009396,10/3/2019,19.5,21210892
1016047,10/2/2019,1444.95,16533
1007429,10/4/2019,207.65,2200-48450-025
1011087,10/3/2019,18.32,21267538
1007429,10/3/2019,235.34,2200-48450-019
1039952,10/2/2019,3001.21,20350820
1011087,10/3/2019,18.32,21267538
1009396,10/3/2019,650,21210892
1010228,10/3/2019,52.4,21210892
1039952,10/2/2019,3001.21,20329321
1010228,10/3/2019,78.6,21210892
1011087,10/3/2019,18.32,21267538
1011087,10/3/2019,13.74,21267538
1039952,10/2/2019,3001.21,20329320
1010228,10/3/2019,39.3,21210892
1011087,10/3/2019,52.67,21267538
1010228,10/3/2019,36.68,21210892
1038687,10/3/2019,50.15,21210874
1039952,10/2/2019,3001.21,20350244
1010228,10/3/2019,52.4,21210892
1011087,10/3/2019,52.67,21267538
1038687,10/3/2019,8.85,21210874
